Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-1129,B-170,sports fitness,racquet sports,badminton,2.1,18-03-2020,341
P-10584,B-2770,clothing,men s clothing,sports wear,2,04-11-2018,1397
P-4390,B-1143,kitchen dining,kitchen tools,kitchen implements,3.1,12-01-2016,345
P-228,B-64,automotive,accessories spare parts,car interior exterior,2.2,12-01-2015,3390
P-9714,B-3078,clothing,men s clothing,winter seasonal wear,2.7,29-12-2013,746
P-427,B-97,jewellery,necklaces chains,necklaces,2.4,12-01-2015,862
P-702,B-133,automotive,accessories spare parts,car interior exterior,2.2,12-01-2013,1589
P-11538,B-3082,jewellery,necklaces chains,necklaces,4.9,12-01-2018,281
P-10900,B-3078,clothing,women s clothing,western wear,4.9,01-06-2018,489
P-5078,B-1342,tools hardware,tools,gardening tools,2.3,01-07-2015,571
P-3336,B-861,watches,wrist watches,esidon wrist watches,1.2,24-04-2013,444
P-9355,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,3.9,12-01-2015,197
P-4374,B-3078,sports fitness,other sports,skating,1.5,12-01-2014,3490
P-7297,B-1947,home decor festive needs,decorative lighting lamps,series lights,2,01-01-2013,850
P-9843,B-3078,clothing,women s clothing,western wear,1.8,01-06-2016,799
P-11549,B-2201,clothing,women s clothing,lingerie sleep swimwear,1.8,01-07-2016,484
P-9567,B-2484,clothing,women s clothing,sports gym wear,3,03-03-2016,146
P-11264,B-2982,home decor festive needs,table decor handicrafts,table decor,3.8,01-01-2016,242
P-4660,B-1237,mobiles accessories,tablet accessories,cases covers,1.6,01-01-2020,1243
P-10902,B-3078,clothing,women s clothing,western wear,1.4,01-06-2015,597
P-8860,B-2288,computers,laptop accessories,usb gadgets,4.9,29-12-2019,128
P-9648,B-2508,home furnishing,bath linen,towels,5,20-12-2012,685
P-11845,B-3187,jewellery,bangles bracelets armlets,bangles,2.1,30-12-2016,891
P-3363,B-871,footwear,men s footwear,sports shoes,4.1,06-07-2015,296
P-4760,B-1260,jewellery,necklaces chains,necklaces,4.8,12-01-2016,424
P-796,B-133,automotive,accessories spare parts,car interior exterior,1.5,12-01-2012,1592
P-10164,B-2695,computers,laptop accessories,adapters,3.9,03-11-2014,538
P-7673,B-3078,clothing,men s clothing,t shirts,2.3,13-12-2013,396
P-4994,B-1315,jewellery,necklaces chains,necklaces,3.2,12-01-2016,464
P-12450,B-3314,clothing,women s clothing,western wear,3,24-04-2018,626
P-3154,B-812,clothing,men s clothing,shirts,4.1,03-12-2016,893
P-7671,B-3078,clothing,men s clothing,t shirts,3.7,13-12-2014,329
P-4324,B-1120,home decor festive needs,decorative lighting lamps,wall lamps,3.3,03-07-2016,3499
P-10532,B-3078,clothing,women s clothing,ethnic wear,3.5,30-12-2015,539
P-6148,B-3078,clothing,women s clothing,western wear,2.8,12-01-2014,743
P-3862,B-992,footwear,women s footwear,sports sandals,4.6,19-04-2018,640
P-7254,B-3078,beauty and personal care,combos and kits,mxofere combos and kits,3.3,12-12-2017,281
P-7090,B-1881,jewellery,accessories,brooches,1.6,19-05-2018,689
P-7327,B-1961,home furnishing,bed linen,blankets quilts dohars,3.4,01-01-2019,1396
P-10167,B-2695,computers,laptop accessories,adapters,1.9,03-11-2014,534
P-9509,B-3078,pens stationery,school supplies,geometry pen pencil boxes,4.4,12-01-2017,225
P-318,B-86,jewellery,necklaces chains,necklaces,4.9,12-01-2014,861
P-11714,B-3144,clothing,women s clothing,western wear,4.4,04-02-2017,2494
P-3402,B-879,jewellery,necklaces chains,necklaces,5,12-01-2013,240
P-1852,B-405,jewellery,rings,unknown,2,01-01-2015,35524
P-9799,B-2555,clothing,men s clothing,shirts,4.5,21-03-2016,997
P-11178,B-3078,watches,wrist watches,timewel wrist watches,4.4,01-07-2015,845
P-10673,B-3078,footwear,women s footwear,heels,4.9,12-01-2015,491
P-2798,B-720,home decor festive needs,wall decor clocks,wall decals stickers,1.1,31-12-2014,490
P-2089,B-465,pens stationery,art supplies,sketch paint markers,4.2,25-03-2020,347
P-11846,B-3187,jewellery,bangles bracelets armlets,bangles,3.4,30-12-2017,803
P-10006,B-2624,pet supplies,grooming,skin coat care,2.1,25-03-2018,90
P-11913,B-3197,jewellery,necklaces chains,necklaces,3.6,12-01-2015,292
P-3940,B-1018,baby care,infant wear,baby girls clothes,3.3,22-03-2014,899
P-3731,B-954,footwear,women s footwear,ballerinas,3.7,17-06-2015,495
P-9885,B-3078,clothing,women s clothing,ethnic wear,3.8,29-12-2018,398
P-5460,B-1452,jewellery,necklaces chains,necklaces,1.6,12-01-2014,341
P-5763,B-1517,jewellery,rings,unknown,1.3,01-01-2016,23483
P-1691,B-349,jewellery,jewellery sets,unknown,4.4,31-12-2014,346
P-9082,B-2326,jewellery,rings,unknown,3.2,01-01-2020,28579
P-5848,B-1526,footwear,women s footwear,heels,4.5,24-04-2020,1745
P-5268,B-1407,clothing,kids clothing,boys wear,3.6,26-05-2013,493
P-5330,B-1420,jewellery,necklaces chains,necklaces,1,12-01-2015,489
P-11425,B-3041,jewellery,necklaces chains,necklaces,5,12-01-2016,219
P-167,B-3078,toys school supplies,school supplies,geometry pencil boxes,4.4,12-01-2013,299
P-587,B-133,automotive,accessories spare parts,car interior exterior,1.1,12-01-2014,1589
P-2654,B-668,kitchen dining,cookware,pots pans,1.8,12-01-2014,952
P-9730,B-378,clothing,women s clothing,lingerie sleep swimwear,3.8,01-07-2020,390
P-7925,B-2114,mobiles accessories,mobile accessories,earphone cable organizers,2,04-02-2018,492
P-3451,B-896,sports fitness,outdoor adventure,camping hiking,1.6,25-02-2013,139
P-12312,B-3078,beauty and personal care,fragrances,deodorants,3.8,12-01-2015,269
P-5982,B-1569,mobiles accessories,mobile accessories,mobile pouches,2.4,03-05-2018,452
P-425,B-96,footwear,women s footwear,slippers flip flops,1.7,16-05-2015,696
P-432,B-98,health personal care appliances,personal care appliances,trimmers,2.5,01-01-2013,859
P-8977,B-2307,jewellery,rings,unknown,2.6,01-01-2015,27556
P-738,B-133,automotive,accessories spare parts,car interior exterior,4,12-01-2014,1597
P-9261,B-2679,clothing,men s clothing,shirts,5,12-03-2012,839
P-1045,B-143,clothing,women s clothing,lingerie sleep swimwear,2.8,04-02-2019,338
P-3598,B-929,jewellery,necklaces chains,necklaces,2.8,12-01-2018,349
P-4689,B-1245,beauty and personal care,body and skin care,body and skin accessories,1.8,04-02-2018,195
P-8619,B-3078,kitchen dining,coffee mugs,printland coffee mugs,2.2,12-01-2016,296
P-7354,B-3078,clothing,men s clothing,navaksha men s clothing,2.5,01-06-2014,748
P-6669,B-1754,jewellery,bangles bracelets armlets,bangles,1.9,30-12-2018,287
P-512,B-123,baby care,furniture furnishings,inflatable products,2,01-01-2019,594
P-1802,B-392,clothing,kids clothing,girls wear,1.8,05-10-2016,718
P-1792,B-390,tools hardware,tools,gardening tools,1.2,01-07-2015,993
P-6739,B-1788,baby care,baby bath skin,baby bath towels,4,31-12-2012,289
P-5962,B-3078,clothing,women s clothing,western wear,1.2,12-01-2016,699
P-3912,B-1009,clothing,men s clothing,ethnic wear,2.9,03-03-2017,896
P-6475,B-1695,clothing,kids clothing,girls wear,4,05-10-2020,1608
P-576,B-133,automotive,accessories spare parts,car interior exterior,3,12-01-2018,1599
P-10509,B-2748,furniture,bedroom furniture,mattresses,4,04-05-2018,20571
P-7437,B-1994,computers,network components,routers,2.4,12-01-2015,5249
P-8798,B-3078,pens stationery,college supplies,geometry pencil boxes,2.1,12-01-2013,297
P-8277,B-1936,furniture,pet furniture,unknown,1,29-12-2018,1244
P-7314,B-1954,automotive,accessories spare parts,helmets riding gear,3.2,24-04-2014,178
P-3894,B-1004,frabjous german silver rings for women alloy zir,unknown,unknown,2.1,04-03-2020,391
P-1532,B-3078,clothing,women s clothing,ethnic wear,1.4,12-01-2017,689
P-6825,B-1816,home improvement,home storage organization,laundry,1.8,21-06-2019,1575
P-9436,B-2428,clothing,men s clothing,accessories combo sets,4.4,24-06-2014,646
P-785,B-133,automotive,accessories spare parts,car interior exterior,3.2,12-01-2017,1591
P-1785,B-388,home furnishing,bed linen,blankets quilts dohars,2.3,01-01-2018,895
P-5919,B-3078,footwear,women s footwear,casual shoes,2.5,12-04-2016,2394
P-10255,B-3078,watches,wrist watches,sonata wrist watches,4,01-07-2013,791
P-9787,B-3078,clothing,women s clothing,western wear,3.5,01-07-2017,644
P-7863,B-3078,bags wallets belts,bags,backpacks,4.1,01-01-2018,329
P-5785,B-1518,home decor festive needs,table decor handicrafts,showpieces,3,01-04-2019,2296
P-8788,B-3078,footwear,men s footwear,casual shoes,5,29-12-2016,2292
P-11631,B-3078,clothing,women s clothing,western wear,1.4,01-07-2015,1669
P-10077,B-1936,clothing,women s clothing,lingerie sleep swimwear,3.5,01-07-2015,295
P-5070,B-3078,clothing,women s clothing,western wear,2.4,12-01-2014,831
P-8972,B-2307,jewellery,rings,unknown,1.8,01-01-2015,20575
P-8098,B-2139,toys school supplies,school supplies,school bags,3.6,19-04-2013,246
P-3564,B-920,jewellery,necklaces chains,necklaces,4,12-01-2017,238
P-6027,B-3078,footwear,men s footwear,casual shoes,1.3,29-12-2013,1945
P-9655,B-2510,clothing,women s clothing,western wear,3.6,24-04-2018,1790
P-9205,B-2370,computers,laptop accessories,adapters,3,12-12-2016,698
P-10626,B-2784,mobiles accessories,mobile accessories,cables,1.2,12-12-2017,298
P-4258,B-3078,footwear,men s footwear,casual shoes,2.2,29-12-2014,1998
P-7701,B-3078,beauty and personal care,fragrances,deodorants,1,12-01-2016,148
P-7941,B-3078,clothing,men s clothing,t shirts,1.3,13-12-2016,208
P-7230,B-3078,clothing,women s clothing,western wear,3,01-04-2015,1613
P-11797,B-3172,jewellery,nose rings studs,unknown,1.4,31-12-2016,647
P-8819,B-3078,clothing,men s clothing,accessories combo sets,2.7,31-12-2017,905
P-11875,B-3194,computers,network components,routers,5,12-01-2019,2697
P-3830,B-3078,clothing,women s clothing,ethnic wear,4.3,01-07-2017,444
P-9365,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,4.6,12-01-2017,349
P-12441,B-3311,computers,laptop accessories,usb gadgets,1.2,29-12-2017,495
P-4897,B-1293,computers,laptop accessories,usb gadgets,1.6,29-12-2015,512
P-3185,B-3078,toys school supplies,school supplies,geometry pencil boxes,3.3,12-01-2018,76
P-4976,B-3078,clothing,women s clothing,western wear,4.1,12-01-2012,891
P-5639,B-3078,clothing,women s clothing,western wear,3,12-01-2017,791
P-11691,B-3138,home decor festive needs,garden leisure,hookah hookah flavors,5,26-03-2016,295
P-9149,B-2344,clothing,men s clothing,suits blazers,3.8,23-06-2020,1997
P-8935,B-2307,jewellery,rings,unknown,3,01-01-2017,15357
P-6982,B-1842,computers,laptop accessories,usb gadgets,1.9,29-12-2018,188
P-6806,B-1812,clothing,kids clothing,girls wear,4.6,06-12-2013,1595
P-11765,B-3164,clothing,women s clothing,ethnic wear,1.4,21-06-2019,940
P-10125,B-2690,mobiles accessories,mobile accessories,car accessories,1.9,12-01-2017,693
P-6490,B-3078,clothing,women s clothing,ethnic wear,3.1,01-07-2017,548
P-7207,B-1932,beauty and personal care,body and skin care,lip care,5,03-03-2020,349
P-10724,B-3078,clothing,kids clothing,boys wear,4.7,01-06-2020,825
P-1117,B-166,automotive,accessories spare parts,car electronics accessories,3.7,12-01-2014,1392
P-1827,B-405,jewellery,rings,unknown,3.3,01-01-2019,25371
P-12081,B-3220,jewellery,rings,unknown,1.7,01-07-2013,7191
P-3493,B-907,fabpoppy printed women s jumpsuit,unknown,unknown,2.8,25-04-2020,599
P-10732,B-2826,home decor festive needs,showpieces,ethnic,1.7,12-01-2019,4041
P-8322,B-2183,furniture,pet furniture,unknown,3.4,29-12-2016,1291
P-10222,B-2710,jewellery,bangles bracelets armlets,bangles,5,30-12-2013,994
P-7724,B-3078,clothing,women s clothing,fusion wear,2.7,12-12-2014,296
P-2462,B-593,footwear,kids infant footwear,for boys,2,05-10-2013,989
P-6527,B-3078,footwear,women s footwear,heels,3.8,01-07-2014,739
P-5305,B-1417,jewellery,necklaces chains,necklaces,4.2,12-01-2017,348
P-1207,B-191,jewellery,accessories,brooches,2,19-05-2016,269
P-8973,B-2307,jewellery,rings,unknown,1.6,01-01-2020,18213
P-8488,B-2679,clothing,men s clothing,jeans,1.1,12-12-2019,696
P-5,B-3078,footwear,women s footwear,wedges,4.6,29-12-2013,499
P-3045,B-786,jewellery,necklaces chains,necklaces,3.5,12-01-2016,268
P-10454,B-2741,automotive,accessories spare parts,spares performance parts,1.6,03-03-2017,308
P-7767,B-2066,automotive,accessories spare parts,spares performance parts,3.4,03-03-2019,832
P-2593,B-653,home decor festive needs,table decor handicrafts,showpieces,4.5,28-03-2020,289
P-2129,B-478,jewellery,jewellery sets,unknown,5,31-12-2012,294
P-3559,B-918,jewellery,necklaces chains,necklaces,2.8,12-01-2018,191
P-12325,B-3078,beauty and personal care,fragrances,deodorants,1.4,12-01-2017,274
P-1069,B-155,bags wallets belts,luggage travel,suitcases,4.5,03-03-2018,5636
P-782,B-133,automotive,accessories spare parts,car interior exterior,4.9,12-01-2014,1591
P-9202,B-2370,computers,laptop accessories,batteries,5,01-07-2020,1495
P-5649,B-3078,clothing,women s clothing,ethnic wear,4.2,12-01-2015,747
P-7548,B-3078,clothing,men s clothing,t shirts,2.8,13-12-2018,386
P-6603,B-1841,clothing,women s clothing,lingerie sleep swimwear,3,01-07-2018,325
P-12157,B-3078,clothing,men s clothing,t shirts,3.3,15-12-2017,258
P-12264,B-3269,mobiles accessories,mobile accessories,chargers,2.6,25-03-2016,267
P-1854,B-405,jewellery,rings,unknown,1.8,01-01-2017,30286
P-11039,B-2929,jewellery,bangles bracelets armlets,bangles,5,30-12-2019,490
P-190,B-49,jewellery,bangles bracelets armlets,bangles,4.3,30-12-2017,347
P-9528,B-2463,home decor festive needs,showpieces,s c handicrafts showpieces,2.7,12-01-2018,886
P-5355,B-1427,jewellery,bangles bracelets armlets,bangles,4.4,20-12-2017,797
P-6658,B-3078,clothing,women s clothing,western wear,4.5,12-03-2015,698
P-1919,B-408,home decor festive needs,wall decor clocks,wall shelves,1.2,06-07-2020,1729
P-10390,B-2741,automotive,accessories spare parts,spares performance parts,2.8,03-12-2018,584
P-10481,B-2741,automotive,accessories spare parts,spares performance parts,3.3,31-12-2012,272
P-7373,B-3078,clothing,women s clothing,western wear,3.1,12-12-2014,493
P-9938,B-2604,shopoj white paper sky lantern 80 cm x 34 cm p,unknown,unknown,1.5,18-04-2016,546
P-2259,B-523,clothing,women s clothing,maternity wear,1.7,26-05-2015,4039
P-4438,B-1169,jewellery,necklaces chains,necklaces,4.2,12-01-2018,248
P-11320,B-2998,computers,network components,routers,5,12-01-2014,1212
P-10457,B-2741,automotive,accessories spare parts,spares performance parts,2.4,31-12-2019,1113
P-8887,B-2301,jewellery,bangles bracelets armlets,bangles,2.3,12-12-2014,367
P-3821,B-3078,watches,wrist watches,fluid wrist watches,3,01-07-2016,897
P-2400,B-705,clothing,women s clothing,lingerie sleep swimwear,1.5,01-07-2017,244
P-11058,B-3078,clothing,women s clothing,western wear,3,30-12-2014,390
P-5185,B-1377,jewellery,rings,unknown,3.8,01-07-2015,13888
P-9244,B-3078,footwear,women s footwear,casual shoes,1.4,12-04-2012,1995
P-12284,B-3274,automotive,accessories spare parts,spares performance parts,3.5,31-12-2013,1089
P-5928,B-1559,killys men s solid no show socks,unknown,unknown,2.9,05-10-2017,502
P-12435,B-3311,jewellery,necklaces chains,necklaces,1.5,12-01-2015,298
P-529,B-3078,footwear,men s footwear,casual shoes,3.3,29-12-2016,1792
P-558,B-133,automotive,accessories spare parts,car interior exterior,4.2,12-01-2015,1593
P-10068,B-2657,sj barstel 56m 1000m binoculars 30 mm black,unknown,unknown,3.2,25-03-2019,6447
P-479,B-119,kitchen dining,coffee mugs,akup coffee mugs,1.1,20-03-2020,258
P-9561,B-2478,jewellery,bangles bracelets armlets,bracelets,1.5,20-12-2013,493
P-4188,B-1082,jewellery,necklaces chains,necklaces,3.6,12-01-2018,489
P-864,B-133,automotive,accessories spare parts,car interior exterior,3.1,12-01-2016,916
P-3343,B-863,clothing,women s clothing,western wear,4.6,03-03-2017,448
P-8004,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,3.6,12-12-2013,397
P-3488,B-3078,footwear,women s footwear,wedges,1.8,01-07-2016,479
P-8737,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,4.5,12-01-2015,175
P-8805,B-3078,clothing,men s clothing,winter seasonal wear,3.2,01-07-2013,2691
P-3649,B-3078,watches,wrist watches,fastrack wrist watches,5,01-07-2019,887
P-1871,B-405,jewellery,rings,unknown,1.1,01-01-2016,25726
P-4161,B-3078,footwear,men s footwear,casual shoes,3,29-12-2018,1992
P-1465,B-2679,clothing,women s clothing,western wear,4.2,30-12-2015,326
P-3274,B-850,mobiles accessories,tablet accessories,cases covers,3.5,01-01-2020,1498
P-2960,B-755,jewellery,necklaces chains,necklaces,4.2,12-01-2019,490
P-5466,B-2679,clothing,men s clothing,shirts,1.1,12-06-2017,768
P-1295,B-3078,beauty and personal care,fragrances,deodorants,1.6,12-01-2014,395
P-199,B-54,clothing,women s clothing,ethnic wear,1.4,05-05-2017,995
P-9258,B-3078,kitchen dining,coffee mugs,returnfavors coffee mugs,2.2,12-01-2019,298
P-7982,B-3078,clothing,men s clothing,t shirts,4.1,13-12-2014,490
P-7915,B-2113,kitchen dining,lighting,bulbs,5,31-12-2012,203
P-9060,B-2322,home decor festive needs,showpieces,ethnic,4.9,12-01-2017,1789
P-5295,B-1154,furniture,pet furniture,unknown,2.4,29-12-2014,1294
P-3401,B-879,jewellery,necklaces chains,necklaces,3.9,12-01-2017,246
P-7961,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.5,01-07-2019,261
P-11540,B-3082,jewellery,necklaces chains,necklaces,4,12-01-2015,493
P-239,B-68,mobiles accessories,mobile accessories,cables,3.1,31-12-2012,885
P-577,B-133,automotive,accessories spare parts,car interior exterior,1.1,12-01-2012,1591
P-5181,B-1376,home entertainment,audio players,home audio,2.4,12-01-2013,3787
P-2028,B-440,home decor festive needs,religion devotion,brass gift center religion devotion,4,26-06-2014,4544
P-7896,B-3078,beauty and personal care,body and skin care,face care,1.4,31-12-2016,450
P-1752,B-372,automotive,car bike accessories,car bike lighting,2.7,06-02-2013,244
P-12471,B-3078,clothing,kids clothing,boys wear,2.8,29-12-2014,450
P-4529,B-3078,clothing,women s clothing,fusion wear,3.8,01-07-2020,442
P-27,B-1,automotive,accessories spare parts,car interior exterior,2.6,12-01-2016,1489
P-8529,B-2247,prime printed 8 seater table cover multicolor,unknown,unknown,2.9,19-04-2019,793
P-2058,B-452,baby care,infant wear,baby girls clothes,1.5,16-06-2014,489
P-7203,B-3078,clothing,women s clothing,western wear,4.2,12-01-2017,904
P-11794,B-3171,footwear,men s footwear,casual shoes,2,03-07-2016,239
P-6216,B-1635,clothing,women s clothing,ethnic wear,2.1,03-03-2017,2084
P-56,B-4,computers,laptop accessories,batteries,4.3,01-07-2020,1349
P-2484,B-608,sports fitness,racquet sports,tennis,3.7,25-02-2018,210
P-6660,B-1753,pens stationery,college supplies,pens notebooks,2.8,29-04-2017,301
P-12028,B-3211,home decor festive needs,wall decor clocks,wall decals stickers,4.2,17-05-2014,241
P-11371,B-3020,jewellery,necklaces chains,necklaces,2,12-01-2014,349
P-3364,B-872,clothing,men s clothing,winter seasonal wear,3.9,20-05-2019,629
P-6030,B-3078,footwear,men s footwear,casual shoes,2.8,29-12-2017,1741
P-7480,B-2003,clothing,women s clothing,lingerie sleep swimwear,3.5,26-05-2017,249
P-5729,B-1517,jewellery,rings,unknown,4,01-06-2013,35055
P-10821,B-2866,home decor festive needs,wall decor clocks,posters,3.4,23-06-2014,693
P-2376,B-570,computers,laptop accessories,usb gadgets,3.2,29-12-2014,290
P-12126,B-3234,computers,network components,routers,3.2,12-01-2013,1341
P-1606,B-322,baby care,diapering potty training,changing tables,4.7,25-04-2018,1099
P-6488,B-1700,clothing,women s clothing,fusion wear,1.9,03-11-2015,691
P-8370,B-2200,computers,laptop accessories,anti dust plugs,3.8,01-04-2020,289
P-2665,B-3078,clothing,women s clothing,western wear,3,01-07-2014,981
P-8470,B-3078,footwear,men s footwear,casual shoes,2.3,12-12-2012,695
P-4293,B-2281,clothing,women s clothing,lingerie sleep swimwear,1.4,01-07-2015,394
P-12315,B-3078,beauty and personal care,fragrances,deodorants,1.4,12-01-2012,274
P-4568,B-3078,footwear,women s footwear,heels,4,01-07-2020,999
P-9273,B-3078,footwear,women s footwear,casual shoes,1,12-01-2014,1293
P-4933,B-1302,jewellery,bangles bracelets armlets,bangles,2.7,30-12-2015,196
P-12069,B-3220,jewellery,rings,unknown,1.3,01-06-2016,10224
P-6901,B-3078,watches,wrist watches,maxima wrist watches,4.1,01-07-2014,690
P-2145,B-485,health personal care appliances,health care,health care devices,3.8,18-04-2015,793
P-2410,B-573,clovia women s t shirt bra,unknown,unknown,3.7,05-10-2013,471
P-9892,B-2591,home furnishing,curtains accessories,curtains,3.1,31-12-2018,589
P-9763,B-2544,toys school supplies,action figures,sentinel action figures,2,03-03-2014,14657
P-1953,B-419,home furnishing,bed linen,bedsheets,3.9,03-05-2020,1489
P-2657,B-670,sunglasses,damemoda wayfarer sunglasses,unknown,4.7,06-10-2018,397
P-4979,B-1315,jewellery,necklaces chains,necklaces,2,12-01-2018,260
P-1395,B-247,computers,network components,routers,1.9,12-01-2015,1694
P-9450,B-2437,royal seal creations 40 st color silver zircon n,unknown,unknown,1.1,04-03-2017,649
P-417,B-3078,beauty and personal care,fragrances,deodorants,2.9,12-01-2013,159
P-11598,B-3108,jewellery,bangles bracelets armlets,bracelets,4,20-12-2014,416
P-7647,B-3078,clothing,men s clothing,t shirts,2.3,13-12-2017,689
P-10421,B-2741,automotive,accessories spare parts,car interior exterior,4.7,21-04-2020,353
P-1409,B-247,computers,network components,routers,4.2,12-01-2017,5595
P-6842,B-3078,watches,wrist watches,maxima wrist watches,4.4,01-07-2020,648
P-2988,B-3078,clothing,men s clothing,t shirts,2.3,01-07-2016,493
P-12090,B-3223,bags wallets belts,bags,backpacks,3.3,24-05-2016,994
P-9555,B-2473,computers,laptop accessories,mouse pads,2.7,05-12-2014,216
P-3081,B-793,furniture,living room,sofas sectionals,5,31-12-2015,47773
P-2316,B-552,jewellery,rings,unknown,4.8,01-07-2017,10507
P-4895,B-1293,computers,laptop accessories,usb gadgets,1.1,29-12-2012,546
P-7182,B-1920,sports fitness,outdoor adventure,camping hiking,4,28-02-2020,2096
P-12503,B-3078,clothing,women s clothing,western wear,4,01-07-2015,739
P-3534,B-3078,footwear,women s footwear,wedges,4.6,29-12-2012,1293
P-2621,B-662,computers,network components,routers,4.3,12-01-2013,2190
P-3774,B-970,home furnishing,floor coverings,firangi floor coverings,3.9,05-10-2013,799
P-1196,B-186,beauty and personal care,bath and spa,bath and spa accessories,2.1,13-04-2020,349
P-9341,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,4.7,12-01-2019,192
P-3973,B-1020,jewellery,rings,unknown,3.4,01-01-2017,25851
P-2724,B-706,clothing,women s clothing,ethnic wear,3.7,03-03-2020,378
P-11877,B-3195,jewellery,necklaces chains,necklaces,1.5,12-01-2014,494
P-9615,B-1154,clothing,women s clothing,lingerie sleep swimwear,4.3,01-07-2018,494
P-2068,B-456,toys school supplies,school supplies,school bags,5,19-04-2019,492
P-10930,B-2895,computers,network components,routers,3.7,12-01-2018,3239
P-2412,B-574,clothing,women s clothing,western wear,2.3,06-07-2019,454
P-3895,B-1004,jewellery,earrings,unknown,3,12-12-2015,296
P-6750,B-1793,jewellery,rings,manirathnum manirathnum black star gemstone silv,4.5,28-03-2016,467
P-1420,B-250,automotive,accessories spare parts,car bike care,1.4,31-12-2017,144
P-9034,B-2314,home furnishing,bed linen,blankets quilts dohars,2.5,12-12-2012,911
P-3722,B-3078,clothing,women s clothing,western wear,3.7,01-07-2018,415
P-12401,B-3302,tools hardware,tools,gardening tools,4,01-07-2014,1796
P-153,B-41,jewellery,necklaces chains,necklaces,3.7,12-01-2018,994
P-249,B-72,home decor festive needs,showpieces,adaa showpieces,3.4,01-04-2018,2190
P-3475,B-3078,clothing,women s clothing,ethnic wear,3,31-12-2014,398
P-11252,B-2976,automotive,accessories spare parts,car bike care,4,05-06-2016,286
P-6811,B-2679,clothing,women s clothing,western wear,2.7,30-12-2012,467
P-12335,B-3078,clothing,women s clothing,western wear,3.7,01-06-2016,398
P-7049,B-3078,kitchen dining,containers bottles,bottles sippers,3.5,12-03-2015,247
P-1650,B-339,baby care,baby bedding,baby bedsheets,3.3,26-05-2015,312
P-2766,B-3078,beauty and personal care,fragrances,deodorants,1.8,12-01-2013,336
P-9074,B-2326,jewellery,rings,unknown,4.4,01-01-2016,26446
P-3570,B-920,jewellery,necklaces chains,necklaces,3.8,12-01-2019,191
P-9390,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,2.2,12-01-2018,192
P-9247,B-2386,home furnishing,bed linen,blankets quilts dohars,1.4,25-02-2019,524
P-4642,B-3078,watches,wrist watches,hmt wrist watches,3.9,01-07-2014,523
P-6264,B-3078,footwear,women s footwear,flats,3.7,01-06-2019,779
P-5911,B-1556,jewellery,rings,unknown,3.9,01-06-2014,2170
P-8927,B-2307,jewellery,rings,unknown,1.8,01-01-2016,30759
P-5001,B-1316,jewellery,bangles bracelets armlets,bangles,2.6,26-03-2018,218
P-3930,B-2679,clothing,women s clothing,western wear,4.3,30-12-2019,494
P-7962,B-3078,clothing,men s clothing,t shirts,1.9,13-12-2015,489
P-2990,B-3078,footwear,women s footwear,casual shoes,1.2,12-01-2019,499
P-3005,B-770,clothing,women s clothing,dolz women s clothing,1.8,05-10-2016,595
P-5442,B-1444,cameras accessories,camera accessories,lens hoods,2.6,29-12-2018,1390
P-4728,B-1260,jewellery,necklaces chains,necklaces,4,12-01-2016,488
P-5842,B-2679,clothing,women s clothing,western wear,3.1,30-12-2015,494
P-4436,B-1167,jewellery,necklaces chains,necklaces,2.1,12-01-2013,238
P-3411,B-879,jewellery,necklaces chains,necklaces,2.5,12-01-2019,189
P-6201,B-334,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2017,519
P-5098,B-1349,baby care,furniture furnishings,inflatable products,1,20-12-2018,429
P-12372,B-3292,clothing,kids clothing,girls wear,1.8,26-05-2013,626
P-4265,B-1109,home decor festive needs,table decor handicrafts,showpieces,3.5,31-12-2014,496
P-2448,B-590,tools hardware,tools,gardening tools,3.4,01-07-2016,462
P-7581,B-2025,jewellery,bangles bracelets armlets,bracelets,2.1,29-12-2012,247
P-2334,B-3078,clothing,women s clothing,western wear,2.7,12-03-2018,692
P-8232,B-2373,clothing,women s clothing,western wear,2,30-12-2019,294
P-11131,B-2949,home decor festive needs,table decor handicrafts,showpieces,2.8,28-03-2014,3200
P-10214,B-3078,clothing,women s clothing,western wear,3.2,01-06-2016,702
P-11578,B-3095,jewellery,necklaces chains,necklaces,4.2,12-01-2013,241
P-10526,B-3078,footwear,women s footwear,casual shoes,4.8,12-01-2015,497
P-10419,B-2741,automotive,accessories spare parts,car interior exterior,1.6,21-04-2018,350
P-496,B-119,kitchen dining,coffee mugs,akup coffee mugs,3.8,20-03-2015,251
P-585,B-133,automotive,accessories spare parts,car interior exterior,1.3,12-01-2019,1590
P-5403,B-1442,jewellery,necklaces chains,necklaces,3.4,12-01-2017,299
P-12465,B-3322,jewellery,bangles bracelets armlets,bangles,4.2,31-12-2018,887
P-7662,B-2047,sports fitness,other sports,swimming,2.2,24-02-2018,192
